pli-tv-bi-vb-pc76	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc77	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc78	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc79	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc8	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc80	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc81	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc82	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc83	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc84	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc85	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc86	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc87	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc88	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc89	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc9	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc90	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc91-93	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc94	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc95	yes|not-applicable|not-applicable
pli-tv-bi-vb-pc96	yes|not-applicable|not-applicable
pli-tv-bi-vb-pd1	yes|not-applicable|not-applicable
pli-tv-bi-vb-pd2-8	yes|not-applicable|not-applicable
pli-tv-bi-vb-pj1-4	yes|not-applicable|not-applicable
pli-tv-bi-vb-pj5	yes|not-applicable|not-applicable
pli-tv-bi-vb-pj6	yes|not-applicable|not-applicable
pli-tv-bi-vb-pj7	yes|not-applicable|not-applicable
pli-tv-bi-vb-pj8	yes|not-applicable|not-applicable
pli-tv-bi-vb-sk1	yes|not-applicable|not-applicable
pli-tv-bi-vb-sk75	yes|not-applicable|not-applicable
pli-tv-bi-vb-ss1	yes|not-applicable|not-applicable
pli-tv-bi-vb-ss10	yes|not-applicable|not-applicable
pli-tv-bi-vb-ss11	yes|not-applicable|not-applicable
pli-tv-bi-vb-ss12	yes|not-applicable|not-applicable
pli-tv-bi-vb-ss13	yes|not-applicable|not-applicable
pli-tv-bi-vb-ss2	yes|not-applicable|not-applicable
pli-tv-bi-vb-ss3	yes|not-applicable|not-applicable
pli-tv-bi-vb-ss4	yes|not-applicable|not-applicable
pli-tv-bi-vb-ss5	yes|not-applicable|not-applicable
pli-tv-bi-vb-ss6	yes|not-applicable|not-applicable
pli-tv-bu-vb-as1-7	yes|not-applicable|not-applicable
pli-tv-bu-vb-ay1	yes|not-applicable|not-applicable
pli-tv-bu-vb-ay2	yes|not-applicable|not-applicable
